FIPS,County,"Area, Square Miles",2010 Population,2010 White Population,% 2010 White Population,2010 Black Population,% 2010 Black Population,2010 Asian Population,% 2010 Asian Population,2010 Hispanic Population,% 2010 Hispanic Population,2010 Other Population,"Income: #, Household income less than $35,000","Income: %, Household income less than $35,000","Income: #, Household income $35,000 to $74,999","Income: %, Household income $35,000 to $74,999","Income: #, Household income $75,000 to $200,000","Income: %, Household income $75,000 to $200,000","Income: #, Household income $200,000 or more","Income: %, Household income $200,000 or more",Income: Median household income,"Total Index Crimes Reported, 2012","Violent Crimes Reported, Total, 2012","Violent Crimes Reported, % of Total, 2012","Violent Crimes Reported, Rate per 100,000,  2012","Violent Crimes Reported, Murder, 2012","Violent Crimes Reported, Rape, 2012","Violent Crimes Reported, Robbery, 2012","Violent Crimes Reported, Aggravated Assault, 2012","Educational Attainment: #, Population 25 years and over","Educational Attainment: #, Less than HS or GED","Educational Attainment: %, Less than HS or GED","Educational Attainment: #, BA or Higher","Educational Attainment: %, BA or Higher","Households receiving food stamps, June 2010","Total food stamp recipients, June 2010","Food stamp recipients, age 0-4 , June 2010","Food stamp recipients, age 5-17 , June 2010","Food stamp recipients, age 18-64 , June 2010","Food stamp recipients, age 65+ , June 2010","Households receiving food stamps, June 2012",% of adults who smoke,% of adults who are obese,% of adults who are physically inactive ,% Alcohol Impaired Deaths ,Motor Vehicle Mortality Rate,# Primary Care Physicians,Primary Care Physicians Rate,# Dentists,Dentist Rate,% Female Medicare enrollees ages 67-69 that receive mammography screenings,% Diabetic,Average healthcare costs per person,"Sexually Transmitted Diseases (STD) Cases, 2011-2013","STD Rate, per 100,000, 2011-2013",Avg # of Physically Unhealthy Days in past 30 days (age-adjusted),Avg # of Mentally Unhealthy Days  in past 30 days (age-adjusted),"Total births, 2010-2012","Birth rate, per 1,000 women age 10-55, 2010-2012","BIRTH RATE, 2010-2012","Teen births, age 15-19, 2010-2012","Birth rate, per 1,000 women age 15-19, 2010-2012","Low birth weight (<2,500 grams) births, 2010-2012","% all births that are low birth weight, 2010-2012","Premature births (<37 weeks), 2010-2012","% of all discharges for ""treatable"" illnesses, 2010-2012","Change in Birth Rate, 2010-2014","% Low Birth Weight Births, 2014","Poverty: #, Population for whom poverty status is determined","Poverty: #, Population in poverty","Poverty: %, Population in poverty","Poverty: #, Population under 18 years for whom poverty status is determined","Poverty: #, Population under 18 years in poverty","Poverty: %, Population under 18 years in poverty","Poverty: #, Population 18 to 64 years for whom poverty status is determined","Poverty: #, Population 18 to 64 years in poverty","Poverty: %, Population 18 to 64 years in poverty","Poverty: #, Population 65 years and over for whom poverty status is determined","Single Parent Families, 2010","Single Parent Families (as % of total Households), 2010","Own Children in Families, 2008-12","Children with no Parent in the Labor Force, 2008-12","% Children with no Parent in the Labor Force, 2008-12","% At Risk Youth: Not in School or Labor Force, Ages 16-19, 2010-2014 (avg)","% Children with No Parent in the Labor Force, 2010-2014 (avg)","Male life expectancy, 1985 (years)","Female life expectancy, 1985 (years)","Male life expectancy, 1990 (years)","Female life expectancy, 1990 (years)","Male life expectancy, 1995 (years)","Female life expectancy, 1995 (years)","Male life expectancy, 2000 (years)","Female life expectancy, 2000 (years)","Male life expectancy, 2005 (years)","Female life expectancy, 2005 (years)"
13001,Appling,513,18236,12854,70.5,3360,18.4,125,0.7,1704,9.3,193,3219,47.3,2171,31.9,1379,20.2,43,0.6,37135,628,30,4.8,163.3,1,3,3,23,12197,2904,23.8,1601,13.1,1573,3781,680,1152,1744,205,1984,18,35,30,19,30,9,49,2,11,56,13,9878,275,498,4.3,4.1,806,50.9,50.9,151,92.4,80,9.9,106,26.2,-2.3,11.8,17926,3745,20.9,4587,1158,25.2,10702,2150,20.1,2637,657,9.43,4422,506,11.4,14,10.6,69,76.7,69,77.3,69.2,77.1,70.2,76.6,70.7,76.2
13003,Atkinson,345,8375,4776,57,1428,17.1,17,0.2,2039,24.3,115,1619,58.4,649,23.4,476,17.2,28,1,30933,147,20,13.6,241.4,1,1,3,15,5244,1597,30.5,408,7.8,778,1920,336,628,868,88,909,21,36,32,22,38,,,1,12,47,14,9598,108,432,4.9,4.5,370,47.9,47.9,67,76.5,26,7,47,24.7,-0.3,7,8261,2370,28.7,2352,900,38.3,4993,1309,26.2,916,342,11.47,2379,159,6.7,5.8,12.3,67.3,75.7,66.6,75,67.1,74.2,69.3,75,70.3,75.8
13005,Bacon,286,11096,8431,76,1696,15.3,34,0.3,791,7.1,144,1825,46.2,1301,32.9,794,20.1,31,0.8,37162,205,44,21.5,392.9,0,7,12,25,7335,1648,22.5,937,12.8,820,1986,370,552,939,125,1047,18,31,28,44,37,7,62,3,27,54,12,12048,159,473,4.1,4,460,46.2,46.2,83,81.4,36,7.8,75,30.2,-2.4,8.2,10701,1919,17.9,2768,615,22.2,6430,1081,16.8,1503,450,10.68,2614,261,10,6.2,9.5,67.6,75.9,67.1,75.5,67.5,75.6,68.6,75.5,69.1,75.2
13007,Baker,349,3451,1642,47.6,1600,46.4,24,0.7,145,4.2,40,551,42.7,476,36.9,241,18.7,23,1.8,44297,36,7,19.4,208,0,0,0,7,2262,445,19.7,194,8.6,396,769,109,180,407,73,446,18,32,29,44,,,,0,0,62,16,9290,76,776,4.2,4.1,101,34.4,34.4,13,43.5,14,13.9,12,21.2,9.9,,3287,752,22.9,661,252,38.1,2082,419,20.1,544,102,7.43,789,322,40.8,0,21,66.3,75.9,68,76.3,68.5,76.9,70.4,78.1,70.3,77.2
13009,Baldwin,268,45720,24704,54,18866,41.3,580,1.3,919,2,651,8374,52.4,4105,25.7,3332,20.9,167,1,32460,1667,230,13.8,496,2,18,15,195,27773,4841,17.4,4923,17.7,3608,8373,1482,2587,4082,222,4739,19,34,25,29,11,27,59,19,41,61,13,10677,869,635,4.6,4.3,1450,32.7,32.7,172,26.8,185,12.8,193,21.3,-2,10.1,42074,13201,31.4,8701,3693,42.4,27761,8767,31.6,5612,2089,12.44,8347,904,10.8,10.6,12,69.7,77.3,70,77,70.8,76.3,71.9,76.9,71.9,77.1
13011,Banks,234,18395,16526,89.8,416,2.3,165,0.9,1041,5.7,247,2718,41.5,2408,36.7,1372,20.9,55,0.8,41472,572,49,8.6,267.5,0,2,1,46,12394,2718,21.9,1382,11.2,1088,2897,384,911,1462,140,1326,17,27,28,23,28,3,16,1,5,55,11,9796,81,147,3.8,3.8,529,31.7,31.7,62,34.3,55,10.4,66,19.2,8.3,4.8,18272,3026,16.6,4299,994,23.1,11138,1756,15.8,2835,491,7.33,4381,313,7.1,7.2,9.8,70.3,78.5,71,79.1,71.3,78.7,72.9,79.1,73.2,78.7
13013,Barrow,163,69367,51736,74.6,7769,11.2,2359,3.4,6037,8.7,1466,7220,30.6,9552,40.5,6445,27.4,343,1.5,52012,1929,327,17,466,0,11,22,294,46437,8409,18.1,7666,16.5,4137,10406,1667,3273,5074,392,5474,17,35,31,25,20,17,24,16,22,65,10,9781,697,330,3.6,3.6,3214,47.2,47.2,268,39.8,232,7.2,339,19.8,-2.3,8.7,71597,10902,15.2,19446,3968,20.4,44428,6323,14.2,7723,2426,10.12,18614,1384,7.4,5.7,8.2,67.5,76.6,69.7,77.6,70.7,78.1,71.5,78.1,71.4,77.5
13015,Bartow,470,100157,79803,79.7,10024,10,705,0.7,7690,7.7,1935,12345,34.5,13248,37.1,9528,26.7,611,1.7,48893,4274,413,9.7,410.3,2,23,38,350,66442,12169,18.3,11807,17.8,7171,18053,2812,5714,8932,595,9214,17,34,27,18,15,47,46,33,32,63,10,10426,1197,396,3.8,3.8,3837,39.7,39.7,469,46.8,326,8.5,390,19.9,0.8,8.6,100350,15819,15.8,25751,5541,21.5,62591,8942,14.3,12008,3607,10.08,25254,1450,5.7,10.1,6.6,68.2,77.2,69.1,76.9,69.8,76.4,71.2,76.9,72,77.6
13017,Ben Hill,254,17634,10164,57.6,6087,34.5,120,0.7,1026,5.8,237,3552,55.4,2080,32.4,762,11.9,19,0.3,29994,596,89,14.9,507.5,0,23,12,54,11366,2304,20.3,1239,10.9,2248,5300,931,1505,2621,243,2611,21,36,30,9,15,9,51,6,34,56,15,10577,442,838,5,4.6,757,47.7,47.7,126,76.4,88,11.6,123,24.5,-2.3,15.3,17072,6024,35.3,4429,2191,49.5,10158,3289,32.4,2485,894,13.16,4464,1019,22.8,14.9,22.6,66.1,75.5,65.7,75.8,66.1,75.6,69,75.4,70.4,75.9
13019,Berrien,458,19286,16050,83.2,2040,10.6,82,0.4,885,4.6,229,3619,52,2241,32.2,1076,15.5,22,0.3,31835,471,37,7.9,194.3,0,4,8,25,12743,2385,18.7,1592,12.5,1663,4182,614,1248,2135,185,1994,20,34,35,46,17,3,16,3,16,60,13,9800,213,371,4.5,4.2,667,38.6,38.6,99,56.4,67,10,97,24.1,9.3,14.6,18819,4923,26.2,4625,1508,32.6,11303,2909,25.7,2891,760,10.21,4432,651,14.7,8.6,15.4,68,76.2,68.1,76.7,68.7,76.6,70.3,76.9,70.7,76.5
