weave_GAcounties,Median Household Income,Label,"% of all discharges for ""treatable"" illnesses, 2010-2012","Male life expectancy, 2010 (years)",County,weave_GAcounties,FIPS,County,"Area, Square Miles","Households receiving food stamps, June 2010","Total food stamp recipients, June 2010","Food stamp recipients, age 0-4 , June 2010","Food stamp recipients, age 5-17 , June 2010","Food stamp recipients, age 18-64 , June 2010","Food stamp recipients, age 65+ , June 2010","Households receiving food stamps, June 2012"
[object GeneralizedGeometry],35875,APPLING,26.2,70.4,Appling,[object GeneralizedGeometry],13001,Appling,513,1573,3781,680,1152,1744,205,1984
[object GeneralizedGeometry],28682,ATKINSON,24.7,70.6,Atkinson,[object GeneralizedGeometry],13003,Atkinson,345,778,1920,336,628,868,88,909
[object GeneralizedGeometry],33557,BACON,30.2,69.8,Bacon,[object GeneralizedGeometry],13005,Bacon,286,820,1986,370,552,939,125,1047
[object GeneralizedGeometry],24219,BAKER,21.2,72.9,Baker,[object GeneralizedGeometry],13007,Baker,349,396,769,109,180,407,73,446
[object GeneralizedGeometry],35278,BALDWIN,21.3,73,Baldwin,[object GeneralizedGeometry],13009,Baldwin,268,3608,8373,1482,2587,4082,222,4739
[object GeneralizedGeometry],40162,BANKS,19.2,73.3,Banks,[object GeneralizedGeometry],13011,Banks,234,1088,2897,384,911,1462,140,1326
[object GeneralizedGeometry],51202,BARROW,19.8,73.2,Barrow,[object GeneralizedGeometry],13013,Barrow,163,4137,10406,1667,3273,5074,392,5474
[object GeneralizedGeometry],49543,BARTOW,19.9,73,Bartow,[object GeneralizedGeometry],13015,Bartow,470,7171,18053,2812,5714,8932,595,9214
[object GeneralizedGeometry],29162,BEN HILL,24.5,72.1,Ben Hill,[object GeneralizedGeometry],13017,Ben Hill,254,2248,5300,931,1505,2621,243,2611
[object GeneralizedGeometry],31506,BERRIEN,24.1,73.1,Berrien,[object GeneralizedGeometry],13019,Berrien,458,1663,4182,614,1248,2135,185,1994
[object GeneralizedGeometry],37920,BIBB,21.7,69.6,Bibb,[object GeneralizedGeometry],13021,Bibb,256,17432,39486,6561,12645,18930,1350,21614
[object GeneralizedGeometry],37853,BLECKLEY,25,71.5,Bleckley,[object GeneralizedGeometry],13023,Bleckley,219,940,2083,356,593,1013,121,1145
[object GeneralizedGeometry],37374,BRANTLEY,22.2,71.1,Brantley,[object GeneralizedGeometry],13025,Brantley,448,1114,2941,444,844,1539,114,1323
[object GeneralizedGeometry],35284,BROOKS,20.6,72.9,Brooks,[object GeneralizedGeometry],13027,Brooks,498,1710,3934,623,1141,1920,250,2072
[object GeneralizedGeometry],63818,BRYAN,18.3,73,Bryan,[object GeneralizedGeometry],13029,Bryan,455,1248,3159,521,1029,1463,146,1570
[object GeneralizedGeometry],34403,BULLOCH,20.5,73.7,Bulloch,[object GeneralizedGeometry],13031,Bulloch,689,4020,9520,1647,2869,4668,336,5636
[object GeneralizedGeometry],31597,BURKE,24.6,70.6,Burke,[object GeneralizedGeometry],13033,Burke,835,2814,6854,1119,2215,3217,303,3308
[object GeneralizedGeometry],50722,BUTTS,19.4,70.8,Butts,[object GeneralizedGeometry],13035,Butts,188,1922,4546,665,1365,2299,217,2355
[object GeneralizedGeometry],30042,CALHOUN,23.1,71.9,Calhoun,[object GeneralizedGeometry],13037,Calhoun,284,730,1607,246,508,722,131,881
[object GeneralizedGeometry],54155,CAMDEN,16.6,75.5,Camden,[object GeneralizedGeometry],13039,Camden,783,2624,6735,1167,2094,3290,184,3310
[object GeneralizedGeometry],35833,CANDLER,24.1,71.3,Candler,[object GeneralizedGeometry],13043,Candler,249,1003,2396,419,739,1106,132,1209
[object GeneralizedGeometry],46704,CARROLL,14.7,73,Carroll,[object GeneralizedGeometry],13045,Carroll,504,8391,20604,3349,6341,10196,718,10575
