weave_GAcounties,Median Household Income,Label,"% of all discharges for ""treatable"" illnesses, 2010-2012","Male life expectancy, 2010 (years)",County,weave_GAcounties,"Linguistic Isolation: #, Population 5 years and Over","Linguistic Isolation: #, Speak English Less than ""very well""","Linguistic Isolation: %, Speak English Less than ""very well"""
[object GeneralizedGeometry],35875,APPLING,26.2,70.4,Appling,[object GeneralizedGeometry],17172,605,3.5
[object GeneralizedGeometry],28682,ATKINSON,24.7,70.6,Atkinson,[object GeneralizedGeometry],7578,821,10.8
[object GeneralizedGeometry],33557,BACON,30.2,69.8,Bacon,[object GeneralizedGeometry],10523,565,5.4
[object GeneralizedGeometry],24219,BAKER,21.2,72.9,Baker,[object GeneralizedGeometry],3175,19,0.6
[object GeneralizedGeometry],35278,BALDWIN,21.3,73,Baldwin,[object GeneralizedGeometry],43401,492,1.1
[object GeneralizedGeometry],40162,BANKS,19.2,73.3,Banks,[object GeneralizedGeometry],17353,478,2.8
[object GeneralizedGeometry],51202,BARROW,19.8,73.2,Barrow,[object GeneralizedGeometry],66993,3612,5.4
[object GeneralizedGeometry],49543,BARTOW,19.9,73,Bartow,[object GeneralizedGeometry],94688,2869,3
[object GeneralizedGeometry],29162,BEN HILL,24.5,72.1,Ben Hill,[object GeneralizedGeometry],16108,225,1.4
[object GeneralizedGeometry],31506,BERRIEN,24.1,73.1,Berrien,[object GeneralizedGeometry],17832,444,2.5
[object GeneralizedGeometry],37920,BIBB,21.7,69.6,Bibb,[object GeneralizedGeometry],143649,2914,2
[object GeneralizedGeometry],37853,BLECKLEY,25,71.5,Bleckley,[object GeneralizedGeometry],12030,89,0.7
[object GeneralizedGeometry],37374,BRANTLEY,22.2,71.1,Brantley,[object GeneralizedGeometry],17233,77,0.4
[object GeneralizedGeometry],35284,BROOKS,20.6,72.9,Brooks,[object GeneralizedGeometry],14685,349,2.4
[object GeneralizedGeometry],63818,BRYAN,18.3,73,Bryan,[object GeneralizedGeometry],30794,672,2.2
[object GeneralizedGeometry],34403,BULLOCH,20.5,73.7,Bulloch,[object GeneralizedGeometry],68303,1193,1.7
[object GeneralizedGeometry],31597,BURKE,24.6,70.6,Burke,[object GeneralizedGeometry],21347,296,1.4
[object GeneralizedGeometry],50722,BUTTS,19.4,70.8,Butts,[object GeneralizedGeometry],22093,185,0.8
[object GeneralizedGeometry],30042,CALHOUN,23.1,71.9,Calhoun,[object GeneralizedGeometry],6262,214,3.4
[object GeneralizedGeometry],54155,CAMDEN,16.6,75.5,Camden,[object GeneralizedGeometry],47548,1168,2.5
[object GeneralizedGeometry],35833,CANDLER,24.1,71.3,Candler,[object GeneralizedGeometry],10313,343,3.3
[object GeneralizedGeometry],46704,CARROLL,14.7,73,Carroll,[object GeneralizedGeometry],105153,3104,3
[object GeneralizedGeometry],46143,CATOOSA,20.2,74.9,Catoosa,[object GeneralizedGeometry],61588,827,1.3
[object GeneralizedGeometry],39511,CHARLTON,20.6,71.1,Charlton,[object GeneralizedGeometry],12468,599,4.8
[object GeneralizedGeometry],45653,CHATHAM,20,74.1,Chatham,[object GeneralizedGeometry],260239,9570,3.7
[object GeneralizedGeometry],48684,CHATTAHOOCHEE,16.1,72.8,Chattahoochee,[object GeneralizedGeometry],10795,419,3.9
[object GeneralizedGeometry],32825,CHATTOOGA,21.3,70.9,Chattooga,[object GeneralizedGeometry],23873,755,3.2
[object GeneralizedGeometry],67928,CHEROKEE,15,77.2,Cherokee,[object GeneralizedGeometry],211322,10924,5.2
[object GeneralizedGeometry],33846,CLARKE,18.2,75.2,Clarke,[object GeneralizedGeometry],113956,7563,6.6
[object GeneralizedGeometry],22582,CLAY,18.2,70,Clay,[object GeneralizedGeometry],2816,0,0
[object GeneralizedGeometry],42569,CLAYTON,16.2,74.3,Clayton,[object GeneralizedGeometry],245877,24079,9.8
[object GeneralizedGeometry],33967,CLINCH,26.6,72.1,Clinch,[object GeneralizedGeometry],6166,62,1
[object GeneralizedGeometry],65180,COBB,15.1,77.7,Cobb,[object GeneralizedGeometry],671058,52200,7.8
