weave_GAcounties,Median Household Income,Label,"% of all discharges for ""treatable"" illnesses, 2010-2012","Male life expectancy, 2010 (years)",County,weave_GAcounties,2010 Population,2010 White Population,% 2010 White Population,2010 Black Population,% 2010 Black Population,2010 Asian Population,% 2010 Asian Population,2010 Hispanic Population,% 2010 Hispanic Population,2010 Other Population
[object GeneralizedGeometry],35875,APPLING,26.2,70.4,Appling,[object GeneralizedGeometry],18236,12854,70.5,3360,18.4,125,0.7,1704,9.3,193
[object GeneralizedGeometry],28682,ATKINSON,24.7,70.6,Atkinson,[object GeneralizedGeometry],8375,4776,57,1428,17.1,17,0.2,2039,24.3,115
[object GeneralizedGeometry],33557,BACON,30.2,69.8,Bacon,[object GeneralizedGeometry],11096,8431,76,1696,15.3,34,0.3,791,7.1,144
[object GeneralizedGeometry],24219,BAKER,21.2,72.9,Baker,[object GeneralizedGeometry],3451,1642,47.6,1600,46.4,24,0.7,145,4.2,40
[object GeneralizedGeometry],35278,BALDWIN,21.3,73,Baldwin,[object GeneralizedGeometry],45720,24704,54,18866,41.3,580,1.3,919,2,651
[object GeneralizedGeometry],40162,BANKS,19.2,73.3,Banks,[object GeneralizedGeometry],18395,16526,89.8,416,2.3,165,0.9,1041,5.7,247
[object GeneralizedGeometry],51202,BARROW,19.8,73.2,Barrow,[object GeneralizedGeometry],69367,51736,74.6,7769,11.2,2359,3.4,6037,8.7,1466
[object GeneralizedGeometry],49543,BARTOW,19.9,73,Bartow,[object GeneralizedGeometry],100157,79803,79.7,10024,10,705,0.7,7690,7.7,1935
[object GeneralizedGeometry],29162,BEN HILL,24.5,72.1,Ben Hill,[object GeneralizedGeometry],17634,10164,57.6,6087,34.5,120,0.7,1026,5.8,237
[object GeneralizedGeometry],31506,BERRIEN,24.1,73.1,Berrien,[object GeneralizedGeometry],19286,16050,83.2,2040,10.6,82,0.4,885,4.6,229
[object GeneralizedGeometry],37920,BIBB,21.7,69.6,Bibb,[object GeneralizedGeometry],155547,65494,42.1,80744,51.9,2492,1.6,4389,2.8,2428
[object GeneralizedGeometry],37853,BLECKLEY,25,71.5,Bleckley,[object GeneralizedGeometry],13063,9000,68.9,3533,27,109,0.8,301,2.3,120
[object GeneralizedGeometry],37374,BRANTLEY,22.2,71.1,Brantley,[object GeneralizedGeometry],18411,17198,93.4,531,2.9,37,0.2,343,1.9,302
[object GeneralizedGeometry],35284,BROOKS,20.6,72.9,Brooks,[object GeneralizedGeometry],16243,9425,58,5695,35.1,51,0.3,853,5.3,219
[object GeneralizedGeometry],63818,BRYAN,18.3,73,Bryan,[object GeneralizedGeometry],30233,23446,77.6,4210,13.9,473,1.6,1336,4.4,768
[object GeneralizedGeometry],34403,BULLOCH,20.5,73.7,Bulloch,[object GeneralizedGeometry],70217,46251,65.9,19252,27.4,1013,1.4,2439,3.5,1262
[object GeneralizedGeometry],31597,BURKE,24.6,70.6,Burke,[object GeneralizedGeometry],23316,10844,46.5,11469,49.2,68,0.3,617,2.6,318
[object GeneralizedGeometry],50722,BUTTS,19.4,70.8,Butts,[object GeneralizedGeometry],23655,16200,68.5,6431,27.2,100,0.4,597,2.5,327
[object GeneralizedGeometry],30042,CALHOUN,23.1,71.9,Calhoun,[object GeneralizedGeometry],6694,2250,33.6,4092,61.1,30,0.4,262,3.9,60
[object GeneralizedGeometry],54155,CAMDEN,16.6,75.5,Camden,[object GeneralizedGeometry],50513,35977,71.2,9621,19,706,1.4,2590,5.1,1619
[object GeneralizedGeometry],35833,CANDLER,24.1,71.3,Candler,[object GeneralizedGeometry],10998,6949,63.2,2669,24.3,57,0.5,1227,11.2,96
[object GeneralizedGeometry],46704,CARROLL,14.7,73,Carroll,[object GeneralizedGeometry],110527,80531,72.9,19862,18,836,0.8,6800,6.2,2498
[object GeneralizedGeometry],46143,CATOOSA,20.2,74.9,Catoosa,[object GeneralizedGeometry],63942,59149,92.5,1356,2.1,762,1.2,1469,2.3,1206
[object GeneralizedGeometry],39511,CHARLTON,20.6,71.1,Charlton,[object GeneralizedGeometry],12171,8116,66.7,3443,28.3,76,0.6,310,2.5,226
[object GeneralizedGeometry],45653,CHATHAM,20,74.1,Chatham,[object GeneralizedGeometry],265128,133492,50.4,105274,39.7,6229,2.3,14370,5.4,5763
[object GeneralizedGeometry],48684,CHATTAHOOCHEE,16.1,72.8,Chattahoochee,[object GeneralizedGeometry],11267,7089,62.9,2047,18.2,231,2.1,1398,12.4,502
[object GeneralizedGeometry],32825,CHATTOOGA,21.3,70.9,Chattooga,[object GeneralizedGeometry],26015,21589,83,2886,11.1,108,0.4,1043,4,389
[object GeneralizedGeometry],67928,CHEROKEE,15,77.2,Cherokee,[object GeneralizedGeometry],214346,174243,81.3,11633,5.4,3484,1.6,20566,9.6,4420
[object GeneralizedGeometry],33846,CLARKE,18.2,75.2,Clarke,[object GeneralizedGeometry],116714,66674,57.1,30695,26.3,4811,4.1,12192,10.4,2342
[object GeneralizedGeometry],22582,CLAY,18.2,70,Clay,[object GeneralizedGeometry],3183,1188,37.3,1920,60.3,10,0.3,26,0.8,39
[object GeneralizedGeometry],42569,CLAYTON,16.2,74.3,Clayton,[object GeneralizedGeometry],259424,36610,14.1,169020,65.2,12839,4.9,35447,13.7,5508
[object GeneralizedGeometry],33967,CLINCH,26.6,72.1,Clinch,[object GeneralizedGeometry],6798,4536,66.7,1876,27.6,13,0.2,236,3.5,137
[object GeneralizedGeometry],65180,COBB,15.1,77.7,Cobb,[object GeneralizedGeometry],688078,387438,56.3,168053,24.4,30432,4.4,84330,12.3,17825
[object GeneralizedGeometry],35583,COFFEE,25.7,72.3,Coffee,[object GeneralizedGeometry],42356,25907,61.2,11227,26.5,302,0.7,4352,10.3,568
[object GeneralizedGeometry],33186,COLQUITT,20.3,72.8,Colquitt,[object GeneralizedGeometry],45498,26759,58.8,10143,22.3,289,0.6,7763,17.1,544
[object GeneralizedGeometry],67295,COLUMBIA,16.8,76.4,Columbia,[object GeneralizedGeometry],124053,91517,73.8,18084,14.6,4726,3.8,6175,5,3551
[object GeneralizedGeometry],35983,COOK,26.5,70.8,Cook,[object GeneralizedGeometry],17212,11171,64.9,4684,27.2,113,0.7,1024,5.9,220
[object GeneralizedGeometry],60675,COWETA,17,75.7,Coweta,[object GeneralizedGeometry],127317,92604,72.7,21744,17.1,1895,1.5,8493,6.7,2581
[object GeneralizedGeometry],39403,CRAWFORD,20.9,72.9,Crawford,[object GeneralizedGeometry],12630,9282,73.5,2806,22.2,32,0.3,301,2.4,209
[object GeneralizedGeometry],32320,CRISP,28.6,71.5,Crisp,[object GeneralizedGeometry],23439,12216,52.1,10033,42.8,183,0.8,748,3.2,259
[object GeneralizedGeometry],41677,DADE,15.5,72.2,Dade,[object GeneralizedGeometry],16633,15796,95,142,0.9,114,0.7,292,1.8,289
[object GeneralizedGeometry],53289,DAWSON,16.7,76.1,Dawson,[object GeneralizedGeometry],22330,20847,93.4,97,0.4,124,0.6,920,4.1,342
[object GeneralizedGeometry],30061,DECATUR,24.9,71,Decatur,[object GeneralizedGeometry],27842,14615,52.5,11366,40.8,138,0.5,1404,5,319
[object GeneralizedGeometry],51252,DEKALB,17.1,76,DeKalb,[object GeneralizedGeometry],691893,203395,29.4,370963,53.6,35173,5.1,67824,9.8,14538
[object GeneralizedGeometry],36042,DODGE,24.2,71.8,Dodge,[object GeneralizedGeometry],21796,14273,65.5,6451,29.6,101,0.5,732,3.4,239
[object GeneralizedGeometry],30789,DOOLY,27.5,72.6,Dooly,[object GeneralizedGeometry],14918,6461,43.3,7381,49.5,93,0.6,862,5.8,121
[object GeneralizedGeometry],31789,DOUGHERTY,21.3,72.5,Dougherty,[object GeneralizedGeometry],94565,27315,28.9,63198,66.8,719,0.8,2073,2.2,1260
[object GeneralizedGeometry],54526,DOUGLAS,16.4,75,Douglas,[object GeneralizedGeometry],132403,64911,49,51387,38.8,1876,1.4,11125,8.4,3104
[object GeneralizedGeometry],29772,EARLY,30.1,70,Early,[object GeneralizedGeometry],11008,5250,47.7,5441,49.4,37,0.3,171,1.6,109
[object GeneralizedGeometry],27933,ECHOLS,18.9,72.1,Echols,[object GeneralizedGeometry],4034,2555,63.3,163,4,12,0.3,1183,29.3,121
[object GeneralizedGeometry],62953,EFFINGHAM,17.7,74.7,Effingham,[object GeneralizedGeometry],52250,42311,81,6982,13.4,425,0.8,1501,2.9,1031
[object GeneralizedGeometry],35053,ELBERT,25,73.3,Elbert,[object GeneralizedGeometry],20166,12956,64.2,5906,29.3,121,0.6,967,4.8,216
[object GeneralizedGeometry],31675,EMANUEL,24.4,70.3,Emanuel,[object GeneralizedGeometry],22598,13733,60.8,7541,33.4,154,0.7,921,4.1,249
[object GeneralizedGeometry],36602,EVANS,23.8,71.3,Evans,[object GeneralizedGeometry],11000,6228,56.6,3165,28.8,60,0.5,1441,13.1,106
[object GeneralizedGeometry],35446,FANNIN,24.5,75.4,Fannin,[object GeneralizedGeometry],23682,22761,96.1,75,0.3,72,0.3,431,1.8,343
[object GeneralizedGeometry],81242,FAYETTE,16,79,Fayette,[object GeneralizedGeometry],106567,72202,67.8,21117,19.8,4106,3.9,6760,6.3,2382
[object GeneralizedGeometry],41442,FLOYD,20.3,73.4,Floyd,[object GeneralizedGeometry],96317,70959,73.7,13494,14,1225,1.3,8987,9.3,1652
[object GeneralizedGeometry],87585,FORSYTH,14.5,79.2,Forsyth,[object GeneralizedGeometry],175511,140943,80.3,4287,2.4,10875,6.2,16550,9.4,2856
[object GeneralizedGeometry],32179,FRANKLIN,23,71.5,Franklin,[object GeneralizedGeometry],22084,18913,85.6,1821,8.2,121,0.5,866,3.9,363
[object GeneralizedGeometry],57664,FULTON,17.5,74.8,Fulton,[object GeneralizedGeometry],920581,376014,40.8,400457,43.5,51304,5.6,72566,7.9,20240
[object GeneralizedGeometry],37257,GILMER,20.7,74.5,Gilmer,[object GeneralizedGeometry],28292,25078,88.6,98,0.3,65,0.2,2677,9.5,374
[object GeneralizedGeometry],32346,GLASCOCK,25.4,71.6,Glascock,[object GeneralizedGeometry],3082,2750,89.2,251,8.1,1,0,33,1.1,47
