weave_GAcounties,Median Household Income,Label,"% of all discharges for ""treatable"" illnesses, 2010-2012","Male life expectancy, 2010 (years)",County,weave_GAcounties,Total Population,Under 5 years,% Under 5 Years,5 to 14 years,% 5 to 14 years,15 to 19 years,% 15 to 19 years,20 to 29 years,% 20 to 29 years,30 to 44 years
[object GeneralizedGeometry],35875,APPLING,26.2,70.4,Appling,[object GeneralizedGeometry],18236,1306,7.2,2617,14.4,1254,6.9,2129,11.7,3453
[object GeneralizedGeometry],28682,ATKINSON,24.7,70.6,Atkinson,[object GeneralizedGeometry],8375,708,8.5,1330,15.9,651,7.8,1112,13.3,1715
[object GeneralizedGeometry],33557,BACON,30.2,69.8,Bacon,[object GeneralizedGeometry],11096,825,7.4,1575,14.2,681,6.1,1368,12.3,2310
[object GeneralizedGeometry],24219,BAKER,21.2,72.9,Baker,[object GeneralizedGeometry],3451,220,6.4,445,12.9,222,6.4,388,11.2,603
[object GeneralizedGeometry],35278,BALDWIN,21.3,73,Baldwin,[object GeneralizedGeometry],45720,2775,6.1,5054,11.1,4167,9.1,8770,19.2,7686
[object GeneralizedGeometry],40162,BANKS,19.2,73.3,Banks,[object GeneralizedGeometry],18395,1132,6.2,2689,14.6,1343,7.3,2042,11.1,3775
[object GeneralizedGeometry],51202,BARROW,19.8,73.2,Barrow,[object GeneralizedGeometry],69367,5832,8.4,10799,15.6,4693,6.8,9285,13.4,15927
[object GeneralizedGeometry],49543,BARTOW,19.9,73,Bartow,[object GeneralizedGeometry],100157,6980,7,15242,15.2,7262,7.3,12313,12.3,21683
[object GeneralizedGeometry],29162,BEN HILL,24.5,72.1,Ben Hill,[object GeneralizedGeometry],17634,1398,7.9,2516,14.3,1207,6.8,2202,12.5,3198
[object GeneralizedGeometry],31506,BERRIEN,24.1,73.1,Berrien,[object GeneralizedGeometry],19286,1325,6.9,2755,14.3,1378,7.1,2315,12,3747
[object GeneralizedGeometry],37920,BIBB,21.7,69.6,Bibb,[object GeneralizedGeometry],155547,11465,7.4,21764,14,11777,7.6,22100,14.2,28672
[object GeneralizedGeometry],37853,BLECKLEY,25,71.5,Bleckley,[object GeneralizedGeometry],13063,754,5.8,1586,12.1,1672,12.8,1755,13.4,2127
[object GeneralizedGeometry],37374,BRANTLEY,22.2,71.1,Brantley,[object GeneralizedGeometry],18411,1326,7.2,2718,14.8,1294,7,2109,11.5,3670
[object GeneralizedGeometry],35284,BROOKS,20.6,72.9,Brooks,[object GeneralizedGeometry],16243,1095,6.7,2045,12.6,1148,7.1,1905,11.7,2880
[object GeneralizedGeometry],63818,BRYAN,18.3,73,Bryan,[object GeneralizedGeometry],30233,2203,7.3,5044,16.7,2387,7.9,3294,10.9,6419
[object GeneralizedGeometry],34403,BULLOCH,20.5,73.7,Bulloch,[object GeneralizedGeometry],70217,4197,6,7805,11.1,8574,12.2,18336,26.1,11056
[object GeneralizedGeometry],31597,BURKE,24.6,70.6,Burke,[object GeneralizedGeometry],23316,1774,7.6,3667,15.7,1817,7.8,2888,12.4,4081
[object GeneralizedGeometry],50722,BUTTS,19.4,70.8,Butts,[object GeneralizedGeometry],23655,1425,6,2985,12.6,1547,6.5,3302,14,4922
[object GeneralizedGeometry],30042,CALHOUN,23.1,71.9,Calhoun,[object GeneralizedGeometry],6694,368,5.5,747,11.2,367,5.5,981,14.7,1570
[object GeneralizedGeometry],54155,CAMDEN,16.6,75.5,Camden,[object GeneralizedGeometry],50513,3983,7.9,7355,14.6,3930,7.8,9047,17.9,9736
[object GeneralizedGeometry],35833,CANDLER,24.1,71.3,Candler,[object GeneralizedGeometry],10998,788,7.2,1576,14.3,745,6.8,1412,12.8,1978
