weave_GAcounties,Median Household Income,Label,"% of all discharges for ""treatable"" illnesses, 2010-2012","Male life expectancy, 2010 (years)",County,weave_GAcounties,Income: Total households,"Income: #, Household income less than $35,000","Income: %, Household income less than $35,000","Income: #, Household income $35,000 to $74,999","Income: %, Household income $35,000 to $74,999","Income: #, Household income $75,000 to $200,000","Income: %, Household income $75,000 to $200,000","Income: #, Household income $200,000 or more","Income: %, Household income $200,000 or more",Income: Median household income
[object GeneralizedGeometry],35875,APPLING,26.2,70.4,Appling,[object GeneralizedGeometry],6812,3219,47.3,2171,31.9,1379,20.2,43,0.6,37135
[object GeneralizedGeometry],28682,ATKINSON,24.7,70.6,Atkinson,[object GeneralizedGeometry],2772,1619,58.4,649,23.4,476,17.2,28,1,30933
[object GeneralizedGeometry],33557,BACON,30.2,69.8,Bacon,[object GeneralizedGeometry],3951,1825,46.2,1301,32.9,794,20.1,31,0.8,37162
[object GeneralizedGeometry],24219,BAKER,21.2,72.9,Baker,[object GeneralizedGeometry],1291,551,42.7,476,36.9,241,18.7,23,1.8,44297
[object GeneralizedGeometry],35278,BALDWIN,21.3,73,Baldwin,[object GeneralizedGeometry],15978,8374,52.4,4105,25.7,3332,20.9,167,1,32460
[object GeneralizedGeometry],40162,BANKS,19.2,73.3,Banks,[object GeneralizedGeometry],6553,2718,41.5,2408,36.7,1372,20.9,55,0.8,41472
[object GeneralizedGeometry],51202,BARROW,19.8,73.2,Barrow,[object GeneralizedGeometry],23560,7220,30.6,9552,40.5,6445,27.4,343,1.5,52012
[object GeneralizedGeometry],49543,BARTOW,19.9,73,Bartow,[object GeneralizedGeometry],35732,12345,34.5,13248,37.1,9528,26.7,611,1.7,48893
[object GeneralizedGeometry],29162,BEN HILL,24.5,72.1,Ben Hill,[object GeneralizedGeometry],6413,3552,55.4,2080,32.4,762,11.9,19,0.3,29994
[object GeneralizedGeometry],31506,BERRIEN,24.1,73.1,Berrien,[object GeneralizedGeometry],6958,3619,52,2241,32.2,1076,15.5,22,0.3,31835
[object GeneralizedGeometry],37920,BIBB,21.7,69.6,Bibb,[object GeneralizedGeometry],57111,27534,48.2,16495,28.9,11396,20,1686,3,36519
[object GeneralizedGeometry],37853,BLECKLEY,25,71.5,Bleckley,[object GeneralizedGeometry],4113,1927,46.9,1124,27.3,1018,24.8,44,1.1,38991
[object GeneralizedGeometry],37374,BRANTLEY,22.2,71.1,Brantley,[object GeneralizedGeometry],6581,3092,47,2216,33.7,1233,18.7,40,0.6,37206
[object GeneralizedGeometry],35284,BROOKS,20.6,72.9,Brooks,[object GeneralizedGeometry],6577,3410,51.8,2192,33.3,898,13.7,77,1.2,32663
[object GeneralizedGeometry],63818,BRYAN,18.3,73,Bryan,[object GeneralizedGeometry],11441,3092,27,3574,31.2,4378,38.3,397,3.5,63327
[object GeneralizedGeometry],34403,BULLOCH,20.5,73.7,Bulloch,[object GeneralizedGeometry],26128,12693,48.6,7544,28.9,5408,20.7,483,1.8,36032
[object GeneralizedGeometry],31597,BURKE,24.6,70.6,Burke,[object GeneralizedGeometry],8102,4220,52.1,2010,24.8,1831,22.6,41,0.5,33641
[object GeneralizedGeometry],50722,BUTTS,19.4,70.8,Butts,[object GeneralizedGeometry],7774,3311,42.6,2359,30.3,1994,25.6,110,1.4,41667
[object GeneralizedGeometry],30042,CALHOUN,23.1,71.9,Calhoun,[object GeneralizedGeometry],1836,1181,64.3,392,21.4,205,11.2,58,3.2,25513
[object GeneralizedGeometry],54155,CAMDEN,16.6,75.5,Camden,[object GeneralizedGeometry],18638,5735,30.8,6844,36.7,5634,30.2,425,2.3,52473
[object GeneralizedGeometry],35833,CANDLER,24.1,71.3,Candler,[object GeneralizedGeometry],3909,2202,56.3,1073,27.4,583,14.9,51,1.3,30185
[object GeneralizedGeometry],46704,CARROLL,14.7,73,Carroll,[object GeneralizedGeometry],40074,16418,41,13275,33.1,9688,24.2,693,1.7,43586
[object GeneralizedGeometry],46143,CATOOSA,20.2,74.9,Catoosa,[object GeneralizedGeometry],23943,8349,34.9,8564,35.8,6757,28.2,273,1.1,50876
[object GeneralizedGeometry],39511,CHARLTON,20.6,71.1,Charlton,[object GeneralizedGeometry],3524,1503,42.7,1234,35,778,22.1,9,0.3,42778
[object GeneralizedGeometry],45653,CHATHAM,20,74.1,Chatham,[object GeneralizedGeometry],104912,39116,37.3,35007,33.4,26640,25.4,4149,4,47218
[object GeneralizedGeometry],48684,CHATTAHOOCHEE,16.1,72.8,Chattahoochee,[object GeneralizedGeometry],2599,957,36.8,1155,44.4,474,18.2,13,0.5,43378
[object GeneralizedGeometry],32825,CHATTOOGA,21.3,70.9,Chattooga,[object GeneralizedGeometry],9364,4975,53.1,3137,33.5,1151,12.3,101,1.1,32913
[object GeneralizedGeometry],67928,CHEROKEE,15,77.2,Cherokee,[object GeneralizedGeometry],79133,18525,23.4,23935,30.2,32257,40.8,4416,5.6,68926
[object GeneralizedGeometry],33846,CLARKE,18.2,75.2,Clarke,[object GeneralizedGeometry],43356,23067,53.2,11438,26.4,7632,17.6,1219,2.8,32162
[object GeneralizedGeometry],22582,CLAY,18.2,70,Clay,[object GeneralizedGeometry],1183,782,66.1,272,23,129,10.9,0,0,20438
[object GeneralizedGeometry],42569,CLAYTON,16.2,74.3,Clayton,[object GeneralizedGeometry],88793,38459,43.3,32281,36.4,17341,19.5,712,0.8,40938
[object GeneralizedGeometry],33967,CLINCH,26.6,72.1,Clinch,[object GeneralizedGeometry],2581,1466,56.8,684,26.5,407,15.8,24,0.9,24015
[object GeneralizedGeometry],65180,COBB,15.1,77.7,Cobb,[object GeneralizedGeometry],268616,68970,25.7,81809,30.5,97260,36.2,20577,7.7,65873
[object GeneralizedGeometry],35583,COFFEE,25.7,72.3,Coffee,[object GeneralizedGeometry],14321,7331,51.2,4368,30.5,2306,16.1,316,2.2,33965
[object GeneralizedGeometry],33186,COLQUITT,20.3,72.8,Colquitt,[object GeneralizedGeometry],15737,8437,53.6,4522,28.7,2564,16.3,214,1.4,32409
[object GeneralizedGeometry],67295,COLUMBIA,16.8,76.4,Columbia,[object GeneralizedGeometry],45488,9349,20.6,14953,32.9,18594,40.9,2592,5.7,71021
[object GeneralizedGeometry],35983,COOK,26.5,70.8,Cook,[object GeneralizedGeometry],6157,3046,49.5,1843,29.9,1165,18.9,103,1.7,35683
[object GeneralizedGeometry],60675,COWETA,17,75.7,Coweta,[object GeneralizedGeometry],48777,13221,27.1,15768,32.3,18130,37.2,1658,3.4,62461
[object GeneralizedGeometry],39403,CRAWFORD,20.9,72.9,Crawford,[object GeneralizedGeometry],4538,1950,43,1546,34.1,1013,22.3,29,0.6,41825
[object GeneralizedGeometry],32320,CRISP,28.6,71.5,Crisp,[object GeneralizedGeometry],8659,4599,53.1,2339,27,1539,17.8,182,2.1,31615
[object GeneralizedGeometry],41677,DADE,15.5,72.2,Dade,[object GeneralizedGeometry],6150,2336,38,2221,36.1,1518,24.7,75,1.2,46434
[object GeneralizedGeometry],53289,DAWSON,16.7,76.1,Dawson,[object GeneralizedGeometry],8213,2342,28.5,2739,33.3,2648,32.2,484,5.9,56943
[object GeneralizedGeometry],30061,DECATUR,24.9,71,Decatur,[object GeneralizedGeometry],10614,5743,54.1,3060,28.8,1559,14.7,252,2.4,31284
[object GeneralizedGeometry],51252,DEKALB,17.1,76,DeKalb,[object GeneralizedGeometry],267396,90762,33.9,86436,32.3,74016,27.7,16182,6.1,51376
[object GeneralizedGeometry],36042,DODGE,24.2,71.8,Dodge,[object GeneralizedGeometry],8064,4095,50.8,2358,29.2,1572,19.5,39,0.5,34271
[object GeneralizedGeometry],30789,DOOLY,27.5,72.6,Dooly,[object GeneralizedGeometry],5004,2909,58.1,1463,29.2,615,12.3,17,0.3,28696
[object GeneralizedGeometry],31789,DOUGHERTY,21.3,72.5,Dougherty,[object GeneralizedGeometry],35455,18925,53.4,10064,28.4,5866,16.5,600,1.7,32084
[object GeneralizedGeometry],54526,DOUGLAS,16.4,75,Douglas,[object GeneralizedGeometry],47079,14826,31.5,17240,36.6,13982,29.7,1031,2.2,53881
[object GeneralizedGeometry],29772,EARLY,30.1,70,Early,[object GeneralizedGeometry],3981,2107,52.9,1124,28.2,709,17.8,41,1,31680
[object GeneralizedGeometry],27933,ECHOLS,18.9,72.1,Echols,[object GeneralizedGeometry],1416,748,52.8,392,27.7,253,17.9,23,1.6,32959
[object GeneralizedGeometry],62953,EFFINGHAM,17.7,74.7,Effingham,[object GeneralizedGeometry],18432,4760,25.8,6304,34.2,6953,37.7,415,2.3,63100
[object GeneralizedGeometry],35053,ELBERT,25,73.3,Elbert,[object GeneralizedGeometry],7744,3841,49.6,2557,33,1216,15.7,130,1.7,35388
[object GeneralizedGeometry],31675,EMANUEL,24.4,70.3,Emanuel,[object GeneralizedGeometry],8156,4266,52.3,2505,30.7,1267,15.5,118,1.4,32229
[object GeneralizedGeometry],36602,EVANS,23.8,71.3,Evans,[object GeneralizedGeometry],3982,1818,45.7,1349,33.9,721,18.1,94,2.4,37865
[object GeneralizedGeometry],35446,FANNIN,24.5,75.4,Fannin,[object GeneralizedGeometry],9510,4410,46.4,3364,35.4,1686,17.7,50,0.5,37049
[object GeneralizedGeometry],81242,FAYETTE,16,79,Fayette,[object GeneralizedGeometry],38535,7367,19.1,10760,27.9,16745,43.5,3663,9.5,79066
[object GeneralizedGeometry],41442,FLOYD,20.3,73.4,Floyd,[object GeneralizedGeometry],34874,14987,43,10914,31.3,8262,23.7,711,2,41549
[object GeneralizedGeometry],87585,FORSYTH,14.5,79.2,Forsyth,[object GeneralizedGeometry],62295,10651,17.1,15467,24.8,29407,47.2,6770,10.9,88816
[object GeneralizedGeometry],32179,FRANKLIN,23,71.5,Franklin,[object GeneralizedGeometry],8433,4315,51.2,2764,32.8,1327,15.7,27,0.3,33816
[object GeneralizedGeometry],57664,FULTON,17.5,74.8,Fulton,[object GeneralizedGeometry],379957,122856,32.3,107091,28.2,110207,29,39803,10.5,57207
[object GeneralizedGeometry],37257,GILMER,20.7,74.5,Gilmer,[object GeneralizedGeometry],10985,4825,43.9,3835,34.9,2106,19.2,219,2,40228
[object GeneralizedGeometry],32346,GLASCOCK,25.4,71.6,Glascock,[object GeneralizedGeometry],1121,490,43.7,403,36,223,19.9,5,0.4,40759
