weave_GAcounties,Median Household Income,Label,"% of all discharges for ""treatable"" illnesses, 2010-2012","Male life expectancy, 2010 (years)",County,weave_GAcounties,"Male life expectancy, 1985 (years)","Female life expectancy, 1985 (years)","Male life expectancy, 1990 (years)","Female life expectancy, 1990 (years)","Male life expectancy, 1995 (years)","Female life expectancy, 1995 (years)","Male life expectancy, 2000 (years)","Female life expectancy, 2000 (years)","Male life expectancy, 2005 (years)","Female life expectancy, 2005 (years)"
[object GeneralizedGeometry],35875,APPLING,26.2,70.4,Appling,[object GeneralizedGeometry],69,76.7,69,77.3,69.2,77.1,70.2,76.6,70.7,76.2
[object GeneralizedGeometry],28682,ATKINSON,24.7,70.6,Atkinson,[object GeneralizedGeometry],67.3,75.7,66.6,75,67.1,74.2,69.3,75,70.3,75.8
[object GeneralizedGeometry],33557,BACON,30.2,69.8,Bacon,[object GeneralizedGeometry],67.6,75.9,67.1,75.5,67.5,75.6,68.6,75.5,69.1,75.2
[object GeneralizedGeometry],24219,BAKER,21.2,72.9,Baker,[object GeneralizedGeometry],66.3,75.9,68,76.3,68.5,76.9,70.4,78.1,70.3,77.2
[object GeneralizedGeometry],35278,BALDWIN,21.3,73,Baldwin,[object GeneralizedGeometry],69.7,77.3,70,77,70.8,76.3,71.9,76.9,71.9,77.1
[object GeneralizedGeometry],40162,BANKS,19.2,73.3,Banks,[object GeneralizedGeometry],70.3,78.5,71,79.1,71.3,78.7,72.9,79.1,73.2,78.7
[object GeneralizedGeometry],51202,BARROW,19.8,73.2,Barrow,[object GeneralizedGeometry],67.5,76.6,69.7,77.6,70.7,78.1,71.5,78.1,71.4,77.5
[object GeneralizedGeometry],49543,BARTOW,19.9,73,Bartow,[object GeneralizedGeometry],68.2,77.2,69.1,76.9,69.8,76.4,71.2,76.9,72,77.6
[object GeneralizedGeometry],29162,BEN HILL,24.5,72.1,Ben Hill,[object GeneralizedGeometry],66.1,75.5,65.7,75.8,66.1,75.6,69,75.4,70.4,75.9
[object GeneralizedGeometry],31506,BERRIEN,24.1,73.1,Berrien,[object GeneralizedGeometry],68,76.2,68.1,76.7,68.7,76.6,70.3,76.9,70.7,76.5
[object GeneralizedGeometry],37920,BIBB,21.7,69.6,Bibb,[object GeneralizedGeometry],66.9,75.1,67.1,75,67.6,74.9,69,75.9,69.4,75.5
[object GeneralizedGeometry],37853,BLECKLEY,25,71.5,Bleckley,[object GeneralizedGeometry],66.6,76.4,66.8,76,68.4,76.3,69.3,77.1,70.2,76.3
[object GeneralizedGeometry],37374,BRANTLEY,22.2,71.1,Brantley,[object GeneralizedGeometry],67.8,76.1,68.6,76.2,69.5,75.7,70.7,76.1,70.9,76.7
[object GeneralizedGeometry],35284,BROOKS,20.6,72.9,Brooks,[object GeneralizedGeometry],67.7,76.1,68.4,75.9,68.3,76.4,69,76.2,70.3,76.9
[object GeneralizedGeometry],63818,BRYAN,18.3,73,Bryan,[object GeneralizedGeometry],66,75.8,67.7,76.4,70.5,77.3,71.7,77.1,72.5,77.2
[object GeneralizedGeometry],34403,BULLOCH,20.5,73.7,Bulloch,[object GeneralizedGeometry],69.8,77.9,70.6,77.5,71.3,77.9,72.5,78,72.2,78.4
[object GeneralizedGeometry],31597,BURKE,24.6,70.6,Burke,[object GeneralizedGeometry],65.5,75.6,65.8,74.5,65.6,74.1,66.9,74.7,67.3,74.9
[object GeneralizedGeometry],50722,BUTTS,19.4,70.8,Butts,[object GeneralizedGeometry],68.3,75.9,68.2,76.2,68.2,75.9,70.6,76.3,71.1,76
[object GeneralizedGeometry],30042,CALHOUN,23.1,71.9,Calhoun,[object GeneralizedGeometry],65.4,75.4,66.1,75.1,65.9,74.9,67.6,74.6,68.2,75.4
[object GeneralizedGeometry],54155,CAMDEN,16.6,75.5,Camden,[object GeneralizedGeometry],68,75.7,70.5,76.2,72.3,77.9,73.6,77.6,74.5,77.6
[object GeneralizedGeometry],35833,CANDLER,24.1,71.3,Candler,[object GeneralizedGeometry],67.3,76.4,67.6,75.6,68.3,75.7,68.8,76.3,69.6,77.1
[object GeneralizedGeometry],46704,CARROLL,14.7,73,Carroll,[object GeneralizedGeometry],69.9,77.2,69.8,77.9,70.6,77.3,71.2,76.7,71.8,76.8
[object GeneralizedGeometry],46143,CATOOSA,20.2,74.9,Catoosa,[object GeneralizedGeometry],71.1,78.2,71.3,78.5,71.9,78.8,73.3,78.8,73,78.6
[object GeneralizedGeometry],39511,CHARLTON,20.6,71.1,Charlton,[object GeneralizedGeometry],67.8,76.1,68.6,76.2,69.5,75.7,70.7,76.1,70.9,76.7
[object GeneralizedGeometry],45653,CHATHAM,20,74.1,Chatham,[object GeneralizedGeometry],67.9,75.3,69.2,76.4,70.3,77.5,72,77.6,72.5,77.9
[object GeneralizedGeometry],48684,CHATTAHOOCHEE,16.1,72.8,Chattahoochee,[object GeneralizedGeometry],69.8,76.4,69.9,76.8,69.1,76.3,70.5,75.7,71.8,77.1
[object GeneralizedGeometry],32825,CHATTOOGA,21.3,70.9,Chattooga,[object GeneralizedGeometry],68.1,76.3,67.6,76.2,68.7,76.8,70.8,76.8,71.1,76.4
[object GeneralizedGeometry],67928,CHEROKEE,15,77.2,Cherokee,[object GeneralizedGeometry],69.4,78.6,72.5,79,73.7,79.1,74.3,78.5,76.2,80
[object GeneralizedGeometry],33846,CLARKE,18.2,75.2,Clarke,[object GeneralizedGeometry],70.5,76.8,70.9,78.1,72.5,78.5,72.8,78.2,73.6,79.3
[object GeneralizedGeometry],22582,CLAY,18.2,70,Clay,[object GeneralizedGeometry],66.4,75.1,66.9,76.1,67.3,76.3,69.1,76.3,69.6,76
[object GeneralizedGeometry],42569,CLAYTON,16.2,74.3,Clayton,[object GeneralizedGeometry],69.7,75.9,70.8,77.1,71.5,77.3,71.9,76.9,72.5,77.8
[object GeneralizedGeometry],33967,CLINCH,26.6,72.1,Clinch,[object GeneralizedGeometry],68.2,75.8,68.4,76.4,70,76.8,71.2,76.4,71.6,76.9
[object GeneralizedGeometry],65180,COBB,15.1,77.7,Cobb,[object GeneralizedGeometry],71.4,77.7,73.2,78.8,74.3,79,75.2,79.3,76.5,80.4
[object GeneralizedGeometry],35583,COFFEE,25.7,72.3,Coffee,[object GeneralizedGeometry],66.8,75.5,67.3,75.7,68.3,75.6,69.8,75.9,70.3,77
[object GeneralizedGeometry],33186,COLQUITT,20.3,72.8,Colquitt,[object GeneralizedGeometry],67.2,76.5,67.2,76.5,68.6,76.2,69.7,76.6,71,76.8
[object GeneralizedGeometry],67295,COLUMBIA,16.8,76.4,Columbia,[object GeneralizedGeometry],69.8,77,71.3,78,72.9,78.6,75.1,79.3,75.7,80.1
[object GeneralizedGeometry],35983,COOK,26.5,70.8,Cook,[object GeneralizedGeometry],66.5,76.2,66.7,75.7,68.6,75.4,69.2,75.3,70.1,75.7
[object GeneralizedGeometry],60675,COWETA,17,75.7,Coweta,[object GeneralizedGeometry],68.7,75.8,69.3,76.7,71.5,77.6,72.8,78.1,73.9,78.9
[object GeneralizedGeometry],39403,CRAWFORD,20.9,72.9,Crawford,[object GeneralizedGeometry],66.5,75.1,67.8,75.7,68.7,76.1,70,76.5,70.4,76.8
[object GeneralizedGeometry],32320,CRISP,28.6,71.5,Crisp,[object GeneralizedGeometry],66.2,75.2,66.1,75.9,66.1,74.9,68.1,75.4,69.3,76.4
[object GeneralizedGeometry],41677,DADE,15.5,72.2,Dade,[object GeneralizedGeometry],68.5,77.6,70,78.3,71.7,78.3,71.9,78.1,72.1,77
[object GeneralizedGeometry],53289,DAWSON,16.7,76.1,Dawson,[object GeneralizedGeometry],68.1,76.3,69.7,77.9,72.4,78.7,75.4,79,74.5,79.5
[object GeneralizedGeometry],30061,DECATUR,24.9,71,Decatur,[object GeneralizedGeometry],67,75.1,67.3,75.1,67.5,75.8,69.9,76.6,70.2,77
[object GeneralizedGeometry],51252,DEKALB,17.1,76,DeKalb,[object GeneralizedGeometry],71.2,77.9,70.4,78.1,71.2,78.8,73.6,79.1,74.5,80
[object GeneralizedGeometry],36042,DODGE,24.2,71.8,Dodge,[object GeneralizedGeometry],68,75.5,68,75.3,68,76,68.9,76,70.7,76.5
[object GeneralizedGeometry],30789,DOOLY,27.5,72.6,Dooly,[object GeneralizedGeometry],67.2,74.8,67.2,74.8,67.4,73.7,68.6,75.2,70.2,76.5
[object GeneralizedGeometry],31789,DOUGHERTY,21.3,72.5,Dougherty,[object GeneralizedGeometry],67.8,76,68.5,76.2,68.6,76.3,69.7,76.6,70.4,76.7
[object GeneralizedGeometry],54526,DOUGLAS,16.4,75,Douglas,[object GeneralizedGeometry],70.6,76.1,71.1,77.3,71.8,77.2,72.8,77.5,73.4,77.3
[object GeneralizedGeometry],29772,EARLY,30.1,70,Early,[object GeneralizedGeometry],66.4,75.1,66.9,76.1,67.3,76.3,69.1,76.3,69.6,76
[object GeneralizedGeometry],27933,ECHOLS,18.9,72.1,Echols,[object GeneralizedGeometry],68.2,75.8,68.4,76.4,70,76.8,71.2,76.4,71.6,76.9
[object GeneralizedGeometry],62953,EFFINGHAM,17.7,74.7,Effingham,[object GeneralizedGeometry],69.5,76.7,71.1,77.3,72.1,77.9,72.8,77.9,73.4,78
