weave_GAcounties,Median Household Income,Label,"% of all discharges for ""treatable"" illnesses, 2010-2012","Male life expectancy, 2010 (years)",County,weave_GAcounties,FIPS,County,"All hospital discharges, deduplicated, 2011-2013","All Hospital discharges, deduplicated, 2011-2013, per 100,000 pop","Discharges for cancers, deduplicated, 2011-2013","Discharge rate, per 100,00, for cancers, deduplicated, 2011-2013","Discharges for major cardiovascular diseases, deduplicated, 2011-2013","Discharge rate, per 100,000 for major cardiovascular diseases, deduplicated, 2011-2013","Discharges for Diabetes, deduplicated, 2011-2013","Discharge rate, per 100,000 for diabetes, deduplicated , 2011-2013"
[object GeneralizedGeometry],35875,APPLING,26.2,70.4,Appling,[object GeneralizedGeometry],13001,Appling,6712,12153,141,255,781,1414,107,194
[object GeneralizedGeometry],28682,ATKINSON,24.7,70.6,Atkinson,[object GeneralizedGeometry],13003,Atkinson,2692,10774,50,200,337,1349,52,208
[object GeneralizedGeometry],33557,BACON,30.2,69.8,Bacon,[object GeneralizedGeometry],13005,Bacon,3973,11818,80,238,368,1095,57,170
[object GeneralizedGeometry],24219,BAKER,21.2,72.9,Baker,[object GeneralizedGeometry],13007,Baker,789,8058,33,337,98,1001,12,123
[object GeneralizedGeometry],35278,BALDWIN,21.3,73,Baldwin,[object GeneralizedGeometry],13009,Baldwin,13017,9514,303,222,2102,1536,243,178
[object GeneralizedGeometry],40162,BANKS,19.2,73.3,Banks,[object GeneralizedGeometry],13011,Banks,4474,8137,138,251,614,1117,87,158
[object GeneralizedGeometry],51202,BARROW,19.8,73.2,Barrow,[object GeneralizedGeometry],13013,Barrow,19831,9375,460,218,2497,1180,283,134
[object GeneralizedGeometry],49543,BARTOW,19.9,73,Bartow,[object GeneralizedGeometry],13015,Bartow,30216,9994,850,281,4236,1401,470,155
[object GeneralizedGeometry],29162,BEN HILL,24.5,72.1,Ben Hill,[object GeneralizedGeometry],13017,Ben Hill,6669,12648,141,267,1002,1900,112,212
[object GeneralizedGeometry],31506,BERRIEN,24.1,73.1,Berrien,[object GeneralizedGeometry],13019,Berrien,6692,11646,137,238,883,1537,109,190
[object GeneralizedGeometry],37920,BIBB,21.7,69.6,Bibb,[object GeneralizedGeometry],13021,Bibb,58097,12424,1423,304,8875,1898,1271,272
[object GeneralizedGeometry],37853,BLECKLEY,25,71.5,Bleckley,[object GeneralizedGeometry],13023,Bleckley,3781,9701,63,162,564,1447,48,123
[object GeneralizedGeometry],37374,BRANTLEY,22.2,71.1,Brantley,[object GeneralizedGeometry],13025,Brantley,5304,9601,136,246,728,1318,63,114
[object GeneralizedGeometry],35284,BROOKS,20.6,72.9,Brooks,[object GeneralizedGeometry],13027,Brooks,5724,12229,138,295,751,1604,96,205
[object GeneralizedGeometry],63818,BRYAN,18.3,73,Bryan,[object GeneralizedGeometry],13029,Bryan,7987,8256,226,234,827,855,117,121
[object GeneralizedGeometry],34403,BULLOCH,20.5,73.7,Bulloch,[object GeneralizedGeometry],13031,Bulloch,17972,8290,404,186,2340,1079,317,146
[object GeneralizedGeometry],31597,BURKE,24.6,70.6,Burke,[object GeneralizedGeometry],13033,Burke,7053,10141,187,269,924,1329,156,224
[object GeneralizedGeometry],50722,BUTTS,19.4,70.8,Butts,[object GeneralizedGeometry],13035,Butts,6802,9663,180,256,992,1409,90,128
[object GeneralizedGeometry],30042,CALHOUN,23.1,71.9,Calhoun,[object GeneralizedGeometry],13037,Calhoun,1973,9981,58,293,250,1265,49,248
[object GeneralizedGeometry],54155,CAMDEN,16.6,75.5,Camden,[object GeneralizedGeometry],13039,Camden,7679,5010,160,104,625,408,117,76
[object GeneralizedGeometry],35833,CANDLER,24.1,71.3,Candler,[object GeneralizedGeometry],13043,Candler,3628,10885,76,228,472,1416,54,162
[object GeneralizedGeometry],46704,CARROLL,14.7,73,Carroll,[object GeneralizedGeometry],13045,Carroll,27090,8084,707,211,4201,1254,348,104
[object GeneralizedGeometry],46143,CATOOSA,20.2,74.9,Catoosa,[object GeneralizedGeometry],13047,Catoosa,3616,1855,75,39,308,158,77,40
[object GeneralizedGeometry],39511,CHARLTON,20.6,71.1,Charlton,[object GeneralizedGeometry],13049,Charlton,2001,5006,43,108,165,413,26,65
[object GeneralizedGeometry],45653,CHATHAM,20,74.1,Chatham,[object GeneralizedGeometry],13051,Chatham,75251,9106,2051,248,8668,1049,1642,199
[object GeneralizedGeometry],48684,CHATTAHOOCHEE,16.1,72.8,Chattahoochee,[object GeneralizedGeometry],13053,Chattahoochee,1431,3803,53,141,145,385,28,74
[object GeneralizedGeometry],32825,CHATTOOGA,21.3,70.9,Chattooga,[object GeneralizedGeometry],13055,Chattooga,7699,10051,220,287,1365,1782,131,171
[object GeneralizedGeometry],67928,CHEROKEE,15,77.2,Cherokee,[object GeneralizedGeometry],13057,Cherokee,46421,6984,1448,218,5527,832,527,79
[object GeneralizedGeometry],33846,CLARKE,18.2,75.2,Clarke,[object GeneralizedGeometry],13059,Clarke,22276,6207,568,158,2950,822,424,118
[object GeneralizedGeometry],22582,CLAY,18.2,70,Clay,[object GeneralizedGeometry],13061,Clay,533,5749,6,65,41,442,10,108
[object GeneralizedGeometry],42569,CLAYTON,16.2,74.3,Clayton,[object GeneralizedGeometry],13063,Clayton,58974,7450,1430,181,7339,927,1314,166
[object GeneralizedGeometry],33967,CLINCH,26.6,72.1,Clinch,[object GeneralizedGeometry],13065,Clinch,2481,12228,57,281,341,1681,51,251
[object GeneralizedGeometry],65180,COBB,15.1,77.7,Cobb,[object GeneralizedGeometry],13067,Cobb,146865,6921,4494,212,17290,815,1981,93
[object GeneralizedGeometry],35583,COFFEE,25.7,72.3,Coffee,[object GeneralizedGeometry],13069,Coffee,15799,12223,286,221,1984,1535,322,249
[object GeneralizedGeometry],33186,COLQUITT,20.3,72.8,Colquitt,[object GeneralizedGeometry],13071,Colquitt,14905,10796,293,212,1855,1344,250,181
[object GeneralizedGeometry],67295,COLUMBIA,16.8,76.4,Columbia,[object GeneralizedGeometry],13073,Columbia,28202,7137,762,193,3136,794,319,81
[object GeneralizedGeometry],35983,COOK,26.5,70.8,Cook,[object GeneralizedGeometry],13075,Cook,6112,11958,131,256,840,1643,118,231
[object GeneralizedGeometry],60675,COWETA,17,75.7,Coweta,[object GeneralizedGeometry],13077,Coweta,28213,7165,748,190,3769,957,463,118
[object GeneralizedGeometry],39403,CRAWFORD,20.9,72.9,Crawford,[object GeneralizedGeometry],13079,Crawford,4298,11409,121,321,688,1826,62,165
[object GeneralizedGeometry],32320,CRISP,28.6,71.5,Crisp,[object GeneralizedGeometry],13081,Crisp,7984,11301,191,270,1451,2054,169,239
