weave_GAcounties,Median Household Income,Label,"% of all discharges for ""treatable"" illnesses, 2010-2012","Male life expectancy, 2010 (years)",County,weave_GAcounties,"Poverty: #, Population for whom poverty status is determined","Poverty: #, Population in poverty","Poverty: %, Population in poverty","Poverty: #, Population under 18 years for whom poverty status is determined","Poverty: #, Population under 18 years in poverty","Poverty: %, Population under 18 years in poverty","Poverty: #, Population 18 to 64 years for whom poverty status is determined","Poverty: #, Population 18 to 64 years in poverty","Poverty: %, Population 18 to 64 years in poverty","Poverty: #, Population 65 years and over for whom poverty status is determined"
[object GeneralizedGeometry],35875,APPLING,26.2,70.4,Appling,[object GeneralizedGeometry],17926,3745,20.9,4587,1158,25.2,10702,2150,20.1,2637
[object GeneralizedGeometry],28682,ATKINSON,24.7,70.6,Atkinson,[object GeneralizedGeometry],8261,2370,28.7,2352,900,38.3,4993,1309,26.2,916
[object GeneralizedGeometry],33557,BACON,30.2,69.8,Bacon,[object GeneralizedGeometry],10701,1919,17.9,2768,615,22.2,6430,1081,16.8,1503
[object GeneralizedGeometry],24219,BAKER,21.2,72.9,Baker,[object GeneralizedGeometry],3287,752,22.9,661,252,38.1,2082,419,20.1,544
[object GeneralizedGeometry],35278,BALDWIN,21.3,73,Baldwin,[object GeneralizedGeometry],42074,13201,31.4,8701,3693,42.4,27761,8767,31.6,5612
[object GeneralizedGeometry],40162,BANKS,19.2,73.3,Banks,[object GeneralizedGeometry],18272,3026,16.6,4299,994,23.1,11138,1756,15.8,2835
[object GeneralizedGeometry],51202,BARROW,19.8,73.2,Barrow,[object GeneralizedGeometry],71597,10902,15.2,19446,3968,20.4,44428,6323,14.2,7723
[object GeneralizedGeometry],49543,BARTOW,19.9,73,Bartow,[object GeneralizedGeometry],100350,15819,15.8,25751,5541,21.5,62591,8942,14.3,12008
[object GeneralizedGeometry],29162,BEN HILL,24.5,72.1,Ben Hill,[object GeneralizedGeometry],17072,6024,35.3,4429,2191,49.5,10158,3289,32.4,2485
[object GeneralizedGeometry],31506,BERRIEN,24.1,73.1,Berrien,[object GeneralizedGeometry],18819,4923,26.2,4625,1508,32.6,11303,2909,25.7,2891
[object GeneralizedGeometry],37920,BIBB,21.7,69.6,Bibb,[object GeneralizedGeometry],148196,40611,27.4,38377,16356,42.6,89618,21749,24.3,20201
[object GeneralizedGeometry],37853,BLECKLEY,25,71.5,Bleckley,[object GeneralizedGeometry],11153,2616,23.5,2809,942,33.5,6364,1414,22.2,1980
[object GeneralizedGeometry],37374,BRANTLEY,22.2,71.1,Brantley,[object GeneralizedGeometry],18117,3812,21,4542,1120,24.7,11067,2319,21,2508
[object GeneralizedGeometry],35284,BROOKS,20.6,72.9,Brooks,[object GeneralizedGeometry],15447,4265,27.6,3310,1403,42.4,9331,2448,26.2,2806
[object GeneralizedGeometry],63818,BRYAN,18.3,73,Bryan,[object GeneralizedGeometry],32997,4487,13.6,9575,1857,19.4,20343,2419,11.9,3079
[object GeneralizedGeometry],34403,BULLOCH,20.5,73.7,Bulloch,[object GeneralizedGeometry],66236,21794,32.9,14499,4691,32.4,44828,16301,36.4,6909
[object GeneralizedGeometry],31597,BURKE,24.6,70.6,Burke,[object GeneralizedGeometry],22709,7131,31.4,6050,2806,46.4,13627,3625,26.6,3032
[object GeneralizedGeometry],50722,BUTTS,19.4,70.8,Butts,[object GeneralizedGeometry],20776,4329,20.8,4854,1582,32.6,12916,2427,18.8,3006
[object GeneralizedGeometry],30042,CALHOUN,23.1,71.9,Calhoun,[object GeneralizedGeometry],4622,1924,41.6,1121,580,51.7,2783,1140,41,718
[object GeneralizedGeometry],54155,CAMDEN,16.6,75.5,Camden,[object GeneralizedGeometry],49724,6365,12.8,12964,2326,17.9,31365,3402,10.8,5395
[object GeneralizedGeometry],35833,CANDLER,24.1,71.3,Candler,[object GeneralizedGeometry],10678,3398,31.8,2790,1304,46.7,6286,1810,28.8,1602
[object GeneralizedGeometry],46704,CARROLL,14.7,73,Carroll,[object GeneralizedGeometry],108629,22441,20.7,27206,7544,27.7,68078,13324,19.6,13345
[object GeneralizedGeometry],46143,CATOOSA,20.2,74.9,Catoosa,[object GeneralizedGeometry],64734,8061,12.5,15603,2659,17,39337,4488,11.4,9794
[object GeneralizedGeometry],39511,CHARLTON,20.6,71.1,Charlton,[object GeneralizedGeometry],11672,2010,17.2,2430,504,20.7,7618,1307,17.2,1624
[object GeneralizedGeometry],45653,CHATHAM,20,74.1,Chatham,[object GeneralizedGeometry],267062,50980,19.1,60701,18038,29.7,170446,30020,17.6,35915
[object GeneralizedGeometry],48684,CHATTAHOOCHEE,16.1,72.8,Chattahoochee,[object GeneralizedGeometry],8359,960,11.5,2838,291,10.3,5128,666,13,393
[object GeneralizedGeometry],32825,CHATTOOGA,21.3,70.9,Chattooga,[object GeneralizedGeometry],23200,5488,23.7,5552,1735,31.3,13828,2973,21.5,3820
[object GeneralizedGeometry],67928,CHEROKEE,15,77.2,Cherokee,[object GeneralizedGeometry],224010,24273,10.8,59044,8480,14.4,139839,14269,10.2,25127
[object GeneralizedGeometry],33846,CLARKE,18.2,75.2,Clarke,[object GeneralizedGeometry],110728,40559,36.6,20729,8159,39.4,79156,31162,39.4,10843
[object GeneralizedGeometry],22582,CLAY,18.2,70,Clay,[object GeneralizedGeometry],3046,1285,42.2,800,480,60,1676,663,39.6,570
[object GeneralizedGeometry],42569,CLAYTON,16.2,74.3,Clayton,[object GeneralizedGeometry],262114,65787,25.1,74209,28034,37.8,167298,35568,21.3,20607
